FRM_Distrito,Centro,Fecha_Creacion,Hora,FRM_Orden_Final,FRM_Orden_Item_Final,EOC_ID_TIENDA,Grupo_Canal,Tipo_de_Negocio,Tipo_Despacho_Detalle,Operador_Logistico_Old,EOC_DELIVERYSTOREID,EOC_Estado,Estado_T,Estado_T_Detalle,FRM_N_DNI_Asesor,FRM_Tipologia,Fecha_Entrega_Pactada,Fecha_Entrega_Real,INR_FechaActivacion,Cruce_INAR,EOC_Estado,EOC_Cierre,Multilinea_Asesor,Multi_item,FRM_Departamento_de_entrega,INR_NumRentaIGV_Neto
Yarinacocha,Netcall,1 ago 2026,10,902167495,902167495Empty,9271,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_KPARRAGUEZG,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null
Yarinacocha,Netcall,1 ago 2026,10,902166796,90216679689511710111070118597,9283,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,TLV_NET_GANACLE,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null
Wanchaq,Netcall,1 ago 2026,8,902126604,90212660489511710111069370340,9283,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,9343,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_ECARRETEROH,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Cusco,null
Wanchaq,Netcall,1 ago 2026,10,902171520,90217152089511710111069374482,9283,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,9343,ABIERTAS,Pendiente Entrega,Pendiente Entrega,TLV_NET_LSANCHA,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Cusco,null
Wanchaq,Netcall,1 ago 2026,8,902128399,90212839989511710111069370498,9283,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,9343,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_ECARRETEROH,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Cusco,null
Wanchaq,Netcall,1 ago 2026,9,902162250,90216225089511710111069374391,9283,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,9343,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_PSANCHEZE,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Cusco,null
Wanchaq,Netcall,1 ago 2026,8,902129900,90212990089511710111069370456,9283,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,9343,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_ECARRETEROH,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Cusco,null
Wanchaq,Netcall,1 ago 2026,10,902170544,90217054489511710111069374490,9283,Outbound,Venta Regular / Alta,EXPRESS,Retiro en tienda,9343,ABIERTAS,Pendiente Entrega,Pendiente Entrega,TLV_NET_LSANCHA,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Cusco,null
Viru,Netcall,1 ago 2026,9,902151813,902151813Empty,9283,Outbound,Portabilidad Postpago,RETIRO EN TIENDA,Retiro en tienda,7206,ABIERTAS,Pendiente Entrega,Pendiente Entrega,TLV_NET_GANACLE,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,La Libertad,null
Villa Maria Del Triunfo,Netcall,1 ago 2026,11,902191195,90219119589511710111069077176,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,ABIERTAS,Pendiente Entrega,Pendiente de Picking,TLV_NET_MFARFAN,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Lima - Callao,null
