FRM_Distrito,Centro,Fecha_Creacion,Hora,FRM_Orden_Final,FRM_Orden_Item_Final,EOC_ID_TIENDA,Grupo_Canal,Tipo_de_Negocio,Tipo_Despacho_Detalle,Operador_Logistico_Old,EOC_DELIVERYSTOREID,EOC_Estado,Estado_T,Estado_T_Detalle,FRM_N_DNI_Asesor,FRM_Tipologia,Fecha_Entrega_Pactada,Fecha_Entrega_Real,INR_FechaActivacion,Cruce_INAR,EOC_Estado,EOC_Cierre,Multilinea_Asesor,Multi_item,FRM_Departamento_de_entrega,INR_NumRentaIGV_Neto
Yarinacocha,Netcall,1 ago 2026,12,902213671,9022136718040786172760,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,9349,ABIERTAS,Anulado,CLIENTE YA NO DESEA PRODUCTO,NET_KDIAZPISCOY,SIM,3 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null
Yarinacocha,Netcall,4 ago 2026,11,903239565,903239565Empty,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_ABARRERAY,SIM,5 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null
Yarinacocha,Netcall,1 ago 2026,10,902166796,9021667968040336923906,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9349,CERRADAS,Entregado,Entregado,TLV_NET_GANACLE,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 00:37:10,Monolínea,Mono_item,Ucayali,29.95
Yarinacocha,Netcall,4 ago 2026,11,903251783,903251783Empty,9283,Outbound,Venta Regular / Alta,PROGRAMADO,Logixtal,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_AITORRESC,SIM,5 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Ucayali,null
Yarinacocha,Netcall,3 ago 2026,18,902977793,9029777938047966336538,5299,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,9349,ABIERTAS,Entregado,Entregado,NET_AEREYES,SIM,4 ago 2026,4 ago 2026,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null
Yarinacocha,Netcall,4 ago 2026,13,903283404,903283404Empty,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_YRUEDAMONDR,SIM,6 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null
Yarinacocha,Netcall,4 ago 2026,16,903341000,903341000Empty,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_AYROJASS,SIM,6 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null
Yarinacocha,Netcall,3 ago 2026,10,902802753,9028027538046263286651,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9349,CERRADAS,Entregado,Entregado,NET_MGONZALESPE,SIM,3 ago 2026,3 ago 2026,null,No,CERRADAS,2026-08-04 01:49:05,Monolínea,Mono_item,Ucayali,null
Yarinacocha,Netcall,1 ago 2026,10,902167495,9021674958040345241315,9271,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9349,ABIERTAS,Anulado,PIN PORTA_CLIENTE RECHAZA,NET_KPARRAGUEZG,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null
Yarinacocha,Netcall,4 ago 2026,12,903253160,903253160Empty,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_AITORRESC,SIM,5 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Ucayali,null
