FRM_Distrito,Centro,Fecha_Creacion,Hora,FRM_Orden_Final,FRM_Orden_Item_Final,EOC_ID_TIENDA,Grupo_Canal,Tipo_de_Negocio,Tipo_Despacho_Detalle,Operador_Logistico_Old,EOC_DELIVERYSTOREID,EOC_Estado,Estado_T,Estado_T_Detalle,FRM_N_DNI_Asesor,FRM_Tipologia,Fecha_Entrega_Pactada,Fecha_Entrega_Real,INR_FechaActivacion,Cruce_INAR,EOC_Estado,EOC_Cierre,Multilinea_Asesor,Multi_item,FRM_Departamento_de_entrega,INR_NumRentaIGV_Neto
Yarinacocha,Netcall,1 ago 2026,10,902166796,9021667968040336923906,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9349,CERRADAS,Entregado,Entregado,TLV_NET_GANACLE,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 00:37:10,Monolínea,Mono_item,Ucayali,29.95
Yarinacocha,Netcall,3 ago 2026,10,902802753,90280275389511710111070118829,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9349,ABIERTAS,Entregado,Entregado,NET_MGONZALESPE,SIM,3 ago 2026,3 ago 2026,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null
Yarinacocha,Netcall,1 ago 2026,12,902213671,9022136718040786172760,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_KDIAZPISCOY,SIM,3 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null
Yarinacocha,Netcall,1 ago 2026,10,902167495,9021674958040345241315,9271,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9349,ABIERTAS,Anulado,CLIENTE AUSENTE,NET_KPARRAGUEZG,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null
Yanahuara,Netcall,1 ago 2026,13,902224197,9022241978040886429675,9271,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,5022,CERRADAS,Entregado,Entregado,NET_DFRANCIAH,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 00:27:29,Monolínea,Mono_item,Arequipa,39.95
Yanahuara,Netcall,1 ago 2026,17,902299124,9022991248041661205223,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,5022,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_MORIHUELAQ,SIM,3 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Arequipa,null
Yanahuara,Netcall,1 ago 2026,17,902300275,9023002758041671440382,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,5022,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_MORIHUELAQ,SIM,3 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Arequipa,null
Wanchaq,Netcall,1 ago 2026,8,902129900,9021299008040067037805,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9343,CERRADAS,Entregado,Entregado,NET_ECARRETEROH,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 01:00:46,Multilínea,Mono_item,Cusco,19.95
Wanchaq,Netcall,1 ago 2026,8,902128399,9021283998040059504400,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9343,CERRADAS,Entregado,Entregado,NET_ECARRETEROH,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 01:49:36,Multilínea,Mono_item,Cusco,39.95
Wanchaq,Netcall,1 ago 2026,10,902171520,9021715208040379753983,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9343,CERRADAS,Entregado,Entregado,TLV_NET_LSANCHA,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 01:32:28,Multilínea,Mono_item,Cusco,29.91303
Wanchaq,Netcall,1 ago 2026,8,902126604,9021266048040046111586,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9343,CERRADAS,Entregado,Entregado,NET_ECARRETEROH,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 01:55:07,Multilínea,Mono_item,Cusco,19.95
Wanchaq,Netcall,1 ago 2026,9,902162250,9021622508040296386388,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9343,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_PSANCHEZE,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Cusco,null
Wanchaq,Netcall,1 ago 2026,10,902170544,9021705448040367794459,9283,Outbound,Venta Regular / Alta,EXPRESS,Logixtal,9343,CERRADAS,Entregado,Entregado,TLV_NET_LSANCHA,SIM,1 ago 2026,1 ago 2026,01/08/2026,Sí,CERRADAS,2026-08-01 14:22:19,Multilínea,Mono_item,Cusco,39.95
Wanchaq,Netcall,3 ago 2026,11,902832694,90283269489511710111069388466,9271,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9343,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_CMDELACRUZV,SIM,3 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Cusco,null
Viru,Netcall,1 ago 2026,9,902151813,9021518138040193724832,9283,Outbound,Portabilidad Postpago,RETIRO EN TIENDA,Retiro en tienda,7206,ABIERTAS,Pendiente Entrega,Pendiente Entrega,TLV_NET_GANACLE,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,La Libertad,null
Viru,Netcall,1 ago 2026,12,902222987,9022229878040877838995,9283,Outbound,Portabilidad Postpago,RETIRO EN TIENDA,Retiro en tienda,7206,CERRADAS,Entregado,Entregado,NET_LTAMAYOD,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 00:28:38,Monolínea,Mono_item,La Libertad,34.95
Villa Maria Del Triunfo,Netcall,1 ago 2026,6,902087982,9020879828039836537637,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,CERRADAS,Entregado,Entregado,TLV_NET_CACEVED,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 01:22:42,Monolínea,Mono_item,Lima - Callao,34.95
Villa Maria Del Triunfo,Netcall,1 ago 2026,16,902276530,9022765308041432421133,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,9342,CERRADAS,Entregado,Entregado,NET_JTORRESQ,SIM,2 ago 2026,2 ago 2026,null,No,CERRADAS,2026-08-03 01:29:10,Multilínea,Multi_item,Lima - Callao,null
Villa Maria Del Triunfo,Netcall,1 ago 2026,11,902191195,9021911958040569492967,9283,Outbound,Portabilidad Prepago,EXPRESS,Logixtal,9342,CERRADAS,Entregado,Entregado,TLV_NET_MFARFAN,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 02:03:37,Multilínea,Mono_item,Lima - Callao,19.95
Villa Maria Del Triunfo,Netcall,3 ago 2026,10,902796058,90279605889511710121058086427,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,ABIERTAS,Entregado,Entregado,NET_JIYASHAMAR,SIM,3 ago 2026,3 ago 2026,null,No,ABIERTAS,null,Monolínea,Mono_item,Lima - Callao,null
Villa Maria Del Triunfo,Netcall,3 ago 2026,12,902853430,902853430Empty,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,9342,ABIERTAS,Pendiente Entrega,Pendiente de Picking,NET_ABARRERAY,SIM,4 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Lima - Callao,null
Villa Maria Del Triunfo,Netcall,3 ago 2026,11,902824501,90282450189511710121058634416,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,9342,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_YCHAVEZ,SIM,4 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Lima - Callao,null
Villa Maria Del Triunfo,Netcall,1 ago 2026,9,902150675,9021506758040200157304,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,CERRADAS,Entregado,Entregado,NET_YRAMOSA,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 01:19:32,Monolínea,Mono_item,Lima - Callao,29.91303
Villa Maria Del Triunfo,Netcall,1 ago 2026,12,902219788,9022197888040845784992,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,CERRADAS,Entregado,Entregado,NET_RCASTANEDAR,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 00:46:37,Monolínea,Mono_item,Lima - Callao,34.95
Villa Maria Del Triunfo,Netcall,3 ago 2026,12,902839086,902839086Empty,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,9342,ABIERTAS,Pendiente Entrega,Pendiente de Picking,NET_MTELLOG,SIM,4 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Lima - Callao,null
Villa Maria Del Triunfo,Netcall,1 ago 2026,9,902159593,9021595938040272370372,9271,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,CERRADAS,Entregado,Entregado,NET_RCEVERINOL,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 01:01:35,Monolínea,Mono_item,Lima - Callao,29.95
Villa Maria Del Triunfo,Netcall,1 ago 2026,13,902240021,9022400218041042705007,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,CERRADAS,Entregado,Entregado,NET_LCALDERONC,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 00:46:02,Multilínea,Mono_item,Lima - Callao,39.95
Villa Maria Del Triunfo,Netcall,1 ago 2026,16,902276530,9022765308041432421571,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,9342,CERRADAS,Entregado,Entregado,NET_JTORRESQ,SIM,2 ago 2026,2 ago 2026,null,No,CERRADAS,2026-08-03 01:29:10,Multilínea,Multi_item,Lima - Callao,null
Villa Maria Del Triunfo,Netcall,1 ago 2026,13,902228524,9022285248040931141236,9271,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,CERRADAS,Entregado,Entregado,NET_CMENESESV,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 01:38:06,Monolínea,Mono_item,Lima - Callao,29.95
Villa Maria Del Triunfo,Netcall,1 ago 2026,11,902189985,9021899858040559729677,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,CERRADAS,Entregado,Entregado,TLV_NET_MFARFAN,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 00:21:43,Multilínea,Mono_item,Lima - Callao,39.95
Villa Maria Del Triunfo,Netcall,1 ago 2026,17,902303069,9023030698041704942862,9271,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_MRIOSV,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Lima - Callao,null
Villa Maria Del Triunfo,Netcall,2 ago 2026,7,902405105,902405105,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,CERRADAS,Entregado,Entregado,NET_EBOZA,SIM,2 ago 2026,2 ago 2026,null,No,CERRADAS,2026-08-03 00:28:34,Monolínea,Mono_item,Lima - Callao,null
Villa Maria Del Triunfo,Netcall,1 ago 2026,17,902291167,9022911678041578533211,9271,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,CERRADAS,Entregado,Entregado,NET_FCASTILLOG,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 01:42:11,Monolínea,Mono_item,Lima - Callao,34.95
Villa Maria Del Triunfo,Netcall,1 ago 2026,17,902292576,9022925768041593703847,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,CERRADAS,Entregado,Entregado,TLV_NET_DBARTET,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 07:15:02,Multilínea,Mono_item,Lima - Callao,39.95
Villa Maria Del Triunfo,Netcall,1 ago 2026,16,902276530,9022765308041432421352,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,9342,CERRADAS,Entregado,Entregado,NET_JTORRESQ,SIM,2 ago 2026,2 ago 2026,null,No,CERRADAS,2026-08-03 01:29:10,Multilínea,Multi_item,Lima - Callao,null
Villa El Salvador,Netcall,1 ago 2026,7,902105520,9021055208039931766091,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,CERRADAS,Entregado,Entregado,NET_GFLORESS,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 01:24:50,Multilínea,Mono_item,Lima - Callao,39.95
Villa El Salvador,Netcall,1 ago 2026,17,902290365,9022903658041574074092,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,CANCELADAS,Anulado,CLIENTE YA NO DESEA PRODUCTO,NET_LFIESTASG,SIM,1 ago 2026,null,null,No,CANCELADAS,2026-08-01 19:14:54,Multilínea,Mono_item,Lima - Callao,null
Villa El Salvador,Netcall,3 ago 2026,10,902797072,90279707289511710111069089890,9283,Outbound,Portabilidad Postpago,PROGRAMADO,Logixtal,9342,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_AROJASF,SIM,4 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Lima - Callao,null
Villa El Salvador,Netcall,2 ago 2026,7,902411350,9024113508043210168266,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,CERRADAS,Entregado,Entregado,NET_LFIESTASG,SIM,2 ago 2026,2 ago 2026,null,No,CERRADAS,2026-08-03 01:12:21,Multilínea,Mono_item,Lima - Callao,null
Villa El Salvador,Netcall,1 ago 2026,11,902190314,9021903148040556187917,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,CERRADAS,Entregado,Entregado,NET_ACREGALADO,SIM,1 ago 2026,1 ago 2026,02/08/2026,Sí,CERRADAS,2026-08-02 01:03:27,Monolínea,Mono_item,Lima - Callao,29.95
