FRM_Distrito,Centro,Fecha_Creacion,Hora,FRM_Orden_Final,FRM_Orden_Item_Final,EOC_ID_TIENDA,Grupo_Canal,Tipo_de_Negocio,Tipo_Despacho_Detalle,Operador_Logistico_Old,EOC_DELIVERYSTOREID,EOC_Estado,Estado_T,Estado_T_Detalle,FRM_N_DNI_Asesor,FRM_Tipologia,Fecha_Entrega_Pactada,Fecha_Entrega_Real,INR_FechaActivacion,Cruce_INAR,EOC_Estado,EOC_Cierre,Multilinea_Asesor,Multi_item,FRM_Departamento_de_entrega,INR_NumRentaIGV_Neto
Yarinacocha,Netcall,1 ago 2026,10,902166796,90216679689511710111070118597,9283,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,TLV_NET_GANACLE,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null
Yarinacocha,Netcall,1 ago 2026,10,902167495,902167495Empty,9271,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,9349,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_KPARRAGUEZG,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Ucayali,null
Wanchaq,Netcall,1 ago 2026,10,902170544,90217054489511710111069374490,9283,Outbound,Venta Regular / Alta,EXPRESS,Retiro en tienda,9343,ABIERTAS,Pendiente Entrega,Pendiente Entrega,TLV_NET_LSANCHA,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Cusco,null
Wanchaq,Netcall,1 ago 2026,8,902129900,90212990089511710111069370456,9283,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,9343,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_ECARRETEROH,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Cusco,null
Wanchaq,Netcall,1 ago 2026,8,902126604,90212660489511710111069370340,9283,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,9343,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_ECARRETEROH,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Cusco,null
Wanchaq,Netcall,1 ago 2026,8,902128399,90212839989511710111069370498,9283,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,9343,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_ECARRETEROH,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Cusco,null
Wanchaq,Netcall,1 ago 2026,9,902162250,902162250Empty,9283,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,9343,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_PSANCHEZE,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Cusco,null
Wanchaq,Netcall,1 ago 2026,10,902171520,90217152089511710111069374482,9283,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,9343,ABIERTAS,Pendiente Entrega,Pendiente Entrega,TLV_NET_LSANCHA,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Cusco,null
Viru,Netcall,1 ago 2026,9,902151813,902151813Empty,9283,Outbound,Portabilidad Postpago,RETIRO EN TIENDA,Retiro en tienda,7206,ABIERTAS,Pendiente Entrega,Pendiente Entrega,TLV_NET_GANACLE,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,La Libertad,null
Villa Maria Del Triunfo,Netcall,1 ago 2026,9,902159593,90215959389511710121058085403,9271,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,ABIERTAS,Pendiente Entrega,Pendiente de Picking,NET_RCEVERINOL,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Lima - Callao,null
Villa Maria Del Triunfo,Netcall,1 ago 2026,9,902150675,90215067589511710121058085411,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,ABIERTAS,Pendiente Entrega,Pendiente de Picking,NET_YRAMOSA,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Lima - Callao,null
Villa Maria Del Triunfo,Netcall,1 ago 2026,6,902087982,90208798289511710121058078713,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,ABIERTAS,Pendiente Entrega,Pendiente de Picking,TLV_NET_CACEVED,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Lima - Callao,null
Villa El Salvador,Netcall,1 ago 2026,7,902105520,90210552089511710111067963187,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,ABIERTAS,Pendiente Entrega,Pendiente de Picking,NET_GFLORESS,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Lima - Callao,null
Villa El Salvador,Netcall,1 ago 2026,10,902167307,90216730789511710111067959516,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,ABIERTAS,Pendiente Entrega,Pendiente de Picking,NET_EZAPATAC,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Lima - Callao,null
Villa El Salvador,Netcall,1 ago 2026,10,902173285,90217328589511710121058084026,9283,Outbound,Venta Regular / Alta,PROGRAMADO,Logixtal,9342,ABIERTAS,Pendiente Entrega,Pendiente de Picking,TLV_NET_KCHAVEZ,SIM,2 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Lima - Callao,null
Villa El Salvador,Netcall,1 ago 2026,10,902167307,90216730789511710111067959771,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,ABIERTAS,Pendiente Entrega,Pendiente de Picking,NET_EZAPATAC,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Lima - Callao,null
Villa El Salvador,Netcall,1 ago 2026,7,902103719,90210371989511710111067963179,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,ERROR,Pendiente Entrega,Pendiente de Picking,NET_GFLORESS,SIM,1 ago 2026,null,null,No,ERROR,null,Multilínea,Mono_item,Lima - Callao,null
Villa El Salvador,Netcall,1 ago 2026,10,902168609,90216860989511710111067962700,9271,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9342,ABIERTAS,Pendiente Entrega,Pendiente de Picking,NET_HJUNCOT,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Lima - Callao,null
Ventanilla,Netcall,1 ago 2026,8,902149610,90214961089511710111069449359,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9001,ABIERTAS,Pendiente Entrega,Pendiente de Picking,NET_JIYASHAMAR,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Lima - Callao,null
Ventanilla,Netcall,1 ago 2026,9,902151670,90215167089511710111069449342,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,9001,ABIERTAS,Pendiente Entrega,Pendiente de Picking,NET_ALOAYZAG,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Lima - Callao,null
Veintiseis De Octubre,Netcall,1 ago 2026,10,902180363,902180363Empty,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,5021,ABIERTAS,Pendiente Entrega,Pendiente de Picking,NET_LCALDERONCA,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Piura,null
Tumbes,Netcall,1 ago 2026,9,902161073,90216107389511710101045248223,9271,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,5302,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_FCARRIONM,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,Tumbes,null
Tumbes,Netcall,1 ago 2026,10,902171224,902171224Empty,9271,Outbound,Portabilidad Postpago,EXPRESS,Retiro en tienda,5302,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_RGALVEZC,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Tumbes,null
Tumbes,Netcall,1 ago 2026,10,902172303,902172303Empty,9271,Outbound,Portabilidad Postpago,PROGRAMADO,Retiro en tienda,5302,ABIERTAS,Pendiente Entrega,Pendiente Entrega,NET_RGALVEZC,SIM,3 ago 2026,null,null,No,ABIERTAS,null,Multilínea,Mono_item,Tumbes,null
Trujillo,Netcall,1 ago 2026,10,902173790,902173790Empty,9271,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,5023,ABIERTAS,Pendiente Entrega,Pendiente de Picking,NET_LRODRIGUEZC,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,La Libertad,null
Trujillo,Netcall,1 ago 2026,10,902166328,902166328Empty,9283,Outbound,Portabilidad Postpago,EXPRESS,Logixtal,5023,ABIERTAS,Pendiente Entrega,Pendiente de Picking,NET_DVALVERDEM,SIM,1 ago 2026,null,null,No,ABIERTAS,null,Monolínea,Mono_item,La Libertad,null
